From User,To User,Number of Connection,color,color,User Name,User Name,Avatar,Avatar,Max of num_connections
1,2,12,#14c726,#e50af0,Aaliyah,Aaron,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/1.png,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/2.png,250
1,3,46,#14c726,#0aecf0,Aaliyah,Abel,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/1.png,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/3.png,250
1,5,29,#c90e0e,#0aecf0,Aaliyah,Abraham,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/1.png,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/5.png,250
1,6,79,#2b3030,#e50af0,Aaliyah,Ace,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/1.png,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/6.png,250
1,7,49,#14c726,#e50af0,Aaliyah,Adalyn,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/1.png,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/7.png,250
1,8,11,#c90e0e,#e50af0,Aaliyah,Adalynn,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/1.png,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/8.png,250
1,9,90,#14c726,#0aecf0,Aaliyah,Adam,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/1.png,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/9.png,250
1,10,100,#2b3030,#0aecf0,Aaliyah,Addison,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/1.png,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/10.png,250
2,7,66,#2b3030,#e50af0,Aaron,Adalyn,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/2.png,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/7.png,250
2,8,29,#c90e0e,#e50af0,Aaron,Adalynn,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/2.png,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/8.png,250
2,11,62,#c90e0e,#e50af0,Aaron,Adeline,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/2.png,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/11.png,250
2,13,13,#c90e0e,#e50af0,Aaron,Adriel,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/2.png,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/13.png,250
2,14,45,#c90e0e,#0aecf0,Aaron,Aidan,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/2.png,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/14.png,250
2,15,19,#c90e0e,#0aecf0,Aaron,Aiden,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/2.png,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/15.png,250
2,16,17,#c90e0e,#e50af0,Aaron,Alejandro,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/2.png,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/16.png,250
2,18,97,#c90e0e,#0aecf0,Aaron,Alexa,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/2.png,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/18.png,250
2,19,40,#c90e0e,#0aecf0,Aaron,Alexander,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/2.png,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/19.png,250
2,20,46,#14c726,#0aecf0,Aaron,Alexandra,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/2.png,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/20.png,250
3,13,91,#14c726,#0aecf0,Abel,Adriel,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/3.png,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/13.png,250
3,14,71,#2b3030,#0aecf0,Abel,Aidan,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/3.png,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/14.png,250
3,15,25,#2b3030,#e50af0,Abel,Aiden,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/3.png,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/15.png,250
3,16,47,#c90e0e,#0aecf0,Abel,Alejandro,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/3.png,https://gganalytics.in/clients/toptal/SampleImages/Pokemon/16.png,250
